Name,Drive,Manufacturer,KWH,NumberofSeats,KWH_without_kwh,Acceleration_wtihout_sec,TopSpeed_wtihout_kmperhour,Range_wtihout_km,Efficiency_wtihout_Whperkm,FastChargeSpeed_wtihout_KMperHour,PriceinGermany,PriceinUK
Volkswagen ID.4 Pure Performance,Rear Wheel Drive,Volkswagen,       52 kWh,5,52.0,9.0,160,285,182,410,38450.0,36030.0
Audi e-tron GT quattro,All Wheel Drive,Audi,       85 kWh,4,85.0,4.1,245,420,202,840,99800.0,79900.0
Volvo C40 Recharge,All Wheel Drive,Volvo,       75 kWh,5,75.0,4.7,180,340,221,440,62050.0,57400.0
Hyundai Kona Electric 39 kWh,Front Wheel Drive,Hyundai,       39.2 kWh,5,39.2,9.9,155,250,157,210,35650.0,27950.0
Hyundai Kona Electric 64 kWh,Front Wheel Drive,Hyundai,       64 kWh,5,64.0,7.9,167,395,162,370,41850.0,32550.0
Porsche Taycan 4S Cross Turismo,All Wheel Drive,Porsche,       83.7 kWh,4,83.7,4.1,240,405,207,850,111842.0,87820.0
Porsche Taycan Turbo Cross Turismo,All Wheel Drive,Porsche,       83.7 kWh,4,83.7,3.3,250,385,217,800,154444.0,116950.0
Porsche Taycan Turbo S Cross Turismo,All Wheel Drive,Porsche,       83.7 kWh,4,83.7,2.9,250,380,220,790,187746.0,139910.0
Kia EV6 GT,All Wheel Drive,Kia,       77.4 kWh ,5,77.4,3.5,260,395,196,920,65990.0,58295.0
BMW iX xDrive40,All Wheel Drive,BMW,       71 kWh,5,71.0,6.1,200,350,203,470,77300.0,69905.0
BMW iX xDrive50,All Wheel Drive,BMW,       105.2 kWh,5,105.2,4.6,200,505,208,620,98000.0,91905.0
MG MG5 Electric,Front Wheel Drive,MG,       57 kWh ,5,57.0,8.3,180,340,168,440,35000.0,29750.0
MG Marvel R Performance,All Wheel Drive,MG,       65 kWh ,5,65.0,4.9,200,330,197,380,50000.0,42500.0
Hyundai IONIQ 5 Standard Range 2WD,Rear Wheel Drive,Hyundai,       58 kWh ,5,58.0,8.5,185,310,187,720,41900.0,36995.0
Hyundai IONIQ 5 Standard Range AWD,All Wheel Drive,Hyundai,       58 kWh ,5,58.0,6.1,185,305,190,710,45700.0,38845.0
Hyundai IONIQ 5 Long Range 2WD,Rear Wheel Drive,Hyundai,       72.6 kWh ,5,72.6,7.4,185,385,189,890,45100.0,41945.0
Hyundai IONIQ 5 Long Range AWD,All Wheel Drive,Hyundai,       72.6 kWh ,5,72.6,5.2,185,375,194,870,48900.0,45145.0
Kia EV6 Standard Range 2WD,Rear Wheel Drive,Kia,       58 kWh ,5,58.0,8.5,185,320,181,740,44990.0,40985.0
Kia EV6 Long Range 2WD,Rear Wheel Drive,Kia,       77.4 kWh ,5,77.4,7.5,185,420,184,980,54990.0,48000.0
Kia EV6 Long Range AWD,All Wheel Drive,Kia,       77.4 kWh ,5,77.4,5.4,185,410,189,950,56000.0,52000.0
